
2025/01/26 (19:55:28) | ===> btop++ v.1.4.0
2025/01/26 (19:55:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (19:57:08) | ===> btop++ v.1.4.0
2025/01/26 (19:57:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (00:44:35) | ===> btop++ v.1.4.0
2025/01/31 (00:44:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (00:44:51) | ===> btop++ v.1.4.0
2025/01/31 (00:44:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (00:45:05) | ===> btop++ v.1.4.0
2025/01/31 (00:45:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (00:45:12) | ===> btop++ v.1.4.0
2025/01/31 (00:45:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/08 (18:56:46) | ===> btop++ v.1.4.0
2025/05/08 (18:56:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/08 (19:01:27) | ===> btop++ v.1.4.0
2025/05/08 (19:01:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/08 (19:03:28) | ===> btop++ v.1.4.0
2025/05/08 (19:03:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/08 (19:03:41) | ===> btop++ v.1.4.0
2025/05/08 (19:03:41) | WARNING: Intel GPU: Failed to initialize PMU
